2023-04-25 10:18:45,582 INFO    StreamThr :254921 [internal.py:wandb_internal():86] W&B internal server running at pid: 254921, started at: 2023-04-25 10:18:45.582122
2023-04-25 10:18:45,583 DEBUG   HandlerThread:254921 [handler.py:handle_request():144] handle_request: status
2023-04-25 10:18:45,586 INFO    WriterThread:254921 [datastore.py:open_for_write():85] open: /home/nina/Documents/GeoLifeCLEF/wandb/run-20230425_101845-ishmt4ng/run-ishmt4ng.wandb
2023-04-25 10:18:45,586 DEBUG   SenderThread:254921 [sender.py:send():375] send: header
2023-04-25 10:18:45,599 DEBUG   SenderThread:254921 [sender.py:send():375] send: run
2023-04-25 10:18:46,002 INFO    SenderThread:254921 [dir_watcher.py:__init__():219] watching files in: /home/nina/Documents/GeoLifeCLEF/wandb/run-20230425_101845-ishmt4ng/files
2023-04-25 10:18:46,002 INFO    SenderThread:254921 [sender.py:_start_run_threads():1124] run started: ishmt4ng with start time 1682410725.583629
2023-04-25 10:18:46,002 DEBUG   SenderThread:254921 [sender.py:send_request():402] send_request: summary_record
2023-04-25 10:18:46,002 INFO    SenderThread:254921 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-04-25 10:18:46,004 DEBUG   HandlerThread:254921 [handler.py:handle_request():144] handle_request: check_version
2023-04-25 10:18:46,004 DEBUG   SenderThread:254921 [sender.py:send_request():402] send_request: check_version
2023-04-25 10:18:46,072 DEBUG   HandlerThread:254921 [handler.py:handle_request():144] handle_request: run_start
2023-04-25 10:18:46,075 DEBUG   HandlerThread:254921 [system_info.py:__init__():31] System info init
2023-04-25 10:18:46,075 DEBUG   HandlerThread:254921 [system_info.py:__init__():46] System info init done
2023-04-25 10:18:46,076 INFO    HandlerThread:254921 [system_monitor.py:start():181] Starting system monitor
2023-04-25 10:18:46,076 INFO    SystemMonitor:254921 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-04-25 10:18:46,076 INFO    HandlerThread:254921 [system_monitor.py:probe():201] Collecting system info
2023-04-25 10:18:46,076 INFO    SystemMonitor:254921 [interfaces.py:start():190] Started cpu monitoring
2023-04-25 10:18:46,076 INFO    SystemMonitor:254921 [interfaces.py:start():190] Started disk monitoring
2023-04-25 10:18:46,077 INFO    SystemMonitor:254921 [interfaces.py:start():190] Started gpu monitoring
2023-04-25 10:18:46,078 INFO    SystemMonitor:254921 [interfaces.py:start():190] Started memory monitoring
2023-04-25 10:18:46,078 INFO    SystemMonitor:254921 [interfaces.py:start():190] Started network monitoring
2023-04-25 10:18:46,104 DEBUG   HandlerThread:254921 [system_info.py:probe():195] Probing system
2023-04-25 10:18:46,108 DEBUG   HandlerThread:254921 [system_info.py:_probe_git():180] Probing git
2023-04-25 10:18:46,113 DEBUG   HandlerThread:254921 [system_info.py:_probe_git():188] Probing git done
2023-04-25 10:18:46,113 DEBUG   HandlerThread:254921 [system_info.py:probe():240] Probing system done
