2023-04-25 09:46:39,072 INFO    MainThread:149305 [wandb_setup.py:_flush():76] Configure stats pid to 149305
2023-04-25 09:46:39,073 INFO    MainThread:149305 [wandb_setup.py:_flush():76] Loading settings from /home/nina/.config/wandb/settings
2023-04-25 09:46:39,073 INFO    MainThread:149305 [wandb_setup.py:_flush():76] Loading settings from /home/nina/Documents/GeoLifeCLEF/wandb/settings
2023-04-25 09:46:39,073 INFO    MainThread:149305 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-25 09:46:39,073 INFO    MainThread:149305 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-25 09:46:39,073 INFO    MainThread:149305 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'simple_cnn.py', 'program': '/home/nina/Documents/GeoLifeCLEF/simple_cnn.py'}
2023-04-25 09:46:39,073 INFO    MainThread:149305 [wandb_init.py:_log_setup():507] Logging user logs to /home/nina/Documents/GeoLifeCLEF/wandb/run-20230425_094639-ol4koc32/logs/debug.log
2023-04-25 09:46:39,073 INFO    MainThread:149305 [wandb_init.py:_log_setup():508] Logging internal logs to /home/nina/Documents/GeoLifeCLEF/wandb/run-20230425_094639-ol4koc32/logs/debug-internal.log
2023-04-25 09:46:39,073 INFO    MainThread:149305 [wandb_init.py:init():547] calling init triggers
2023-04-25 09:46:39,073 INFO    MainThread:149305 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'epochs': 100, 'architecture': '2conv_1fc'}
2023-04-25 09:46:39,073 INFO    MainThread:149305 [wandb_init.py:init():595] starting backend
2023-04-25 09:46:39,073 INFO    MainThread:149305 [wandb_init.py:init():599] setting up manager
2023-04-25 09:46:39,075 INFO    MainThread:149305 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-25 09:46:39,077 INFO    MainThread:149305 [wandb_init.py:init():605] backend started and connected
2023-04-25 09:46:39,080 INFO    MainThread:149305 [wandb_init.py:init():695] updated telemetry
2023-04-25 09:46:39,094 INFO    MainThread:149305 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-25 09:46:39,492 INFO    MainThread:149305 [wandb_run.py:_on_init():2176] communicating current version
2023-04-25 09:46:39,555 INFO    MainThread:149305 [wandb_run.py:_on_init():2185] got version response 
2023-04-25 09:46:39,555 INFO    MainThread:149305 [wandb_init.py:init():782] starting run threads in backend
2023-04-25 09:46:41,971 INFO    MainThread:149305 [wandb_run.py:_console_start():2157] atexit reg
2023-04-25 09:46:41,971 INFO    MainThread:149305 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-25 09:46:41,971 INFO    MainThread:149305 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-25 09:46:41,971 INFO    MainThread:149305 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-25 09:46:41,972 INFO    MainThread:149305 [wandb_init.py:init():824] run started, returning control to user process
2023-04-25 09:46:57,561 WARNING MsgRouterThr:149305 [router.py:message_loop():77] message_loop has been closed
